Bank-leitzahl,Bezeichnung,Ort,BIC
21770024,Deutsche Bank Privat und Geschäftskunden,Husum,DEUTDEDB217
21791805,Sylter Bank,Sylt,GENODEF1SYL
21791906,Föhr-Amrumer Bank,Wyk auf Föhr,GENODEF1WYK
21840078,Commerzbank,Heide,COBADEFFXXX
21841328,Commerzbank,Brunsbüttel,COBADEFFXXX
21851830,Verbandssparkasse Meldorf -alt-,Meldorf,NOLADE21MLD
21852310,Sparkasse Hennstedt-Wesselburen,Wesselburen,NOLADE21WEB
21860418,Raiffeisenbank Heide,Heide,GENODEF1RHE
21890022,Dithmarscher Volks- und Raiffeisenbank,Heide,GENODEF1DVR
22140028,Commerzbank,Elmshorn,COBADEFFXXX
22141028,Commerzbank,Kaltenkirchen,COBADEFFXXX
22141428,Commerzbank,Pinneberg,COBADEFFXXX
22141628,Commerzbank,Uetersen,COBADEFFXXX
22150000,Sparkasse Elmshorn,Elmshorn,NOLADE21ELH
22151730,Stadtsparkasse Wedel,Wedel,NOLADE21WED
22163114,Raiffeisenbank Elbmarsch,Heist,GENODEF1HTE
22180000,Commerzbank vormals Dresdner Bank,Elmshorn,DRESDEFF221
22181400,Commerzbank vormals Dresdner Bank,Pinneberg,DRESDEFF206
22190030,Volksbank Elmshorn -alt-,Elmshorn,GENODEF1ELM
22191405,Volksbank Pinneberg-Elmshorn,Pinneberg,GENODEF1PIN
22240073,Commerzbank,Itzehoe,COBADEFFXXX
22250020,Sparkasse Westholstein,Itzehoe,NOLADE21WHO
22251580,Landsparkasse Schenefeld -alt-,Schenefeld- Mittelholst,NOLADE21SHF
22280000,Commerzbank vormals Dresdner Bank,Itzehoe,DRESDEFF201
22290031,Volksbank Raiffeisenbank Itzehoe,Itzehoe,GENODEF1VIT
23000000,Bundesbank eh Lübeck,Hamburg,MARKDEF1230
23010111,SEB,Lübeck,ESSEDE5F230
23040022,Commerzbank,Lübeck,COBADEFFXXX
23050000,HSH Nordbank Hamburg,Hamburg,HSHNDEHH230
